dimension,sample_id,corpus,paper,page,chart,verdict,failure_mode,problem,suggested_fix,suggested_module,png
legend,optml_2605.06821_page60_chart4,optml,2605.06821,60,page60_chart4,legend_partial,legend,4-entry legend; first entry garbled to bare 'o' (was w_SRMS) and the w_SF series/label dropped,reject single-char 'o' legend tokens (marker-glyph proxy) and ensure each colored legend handle maps to a series; recover all 4 handles not 3,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.06821_page60_chart4.png
legend,optml_2605.06821_page7_chart3,optml,2605.06821,7,page7_chart3,legend_wrong,legend,single-entry legend text norm-nu replaced with unrelated text lambda_max(P-1H) (likely picked up from a different text span),constrain legend-text search to spans inside/adjacent to the legend box handle; do not pull arbitrary nearby math labels,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.06821_page7_chart3.png
legend,optml_2605.08751_page14_chart2,optml,2605.08751,14,page14_chart2,legend_missing,legend,clear in-axes 2-entry LaTeX legend (theta-tilde subscripts) not detected at all,detect in-axes legend boxes (frame rectangle + short color handles + text); current detector misses LaTeX-heavy in-plot legends,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart2.png
legend,optml_2605.08751_page14_chart5,optml,2605.08751,14,page14_chart5,legend_missing,legend,clear in-axes 2-entry LaTeX legend not detected,same in-axes legend-box detection gap as chart2,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart5.png
legend,optml_2605.08751_page14_chart7,optml,2605.08751,14,page14_chart7,legend_missing,legend,clear in-axes 2-entry LaTeX legend not detected,same in-axes legend-box detection gap,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart7.png
legend,optml_2605.08751_page14_chart8,optml,2605.08751,14,page14_chart8,legend_missing,legend,clear in-axes 2-entry LaTeX legend not detected,same in-axes legend-box detection gap,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart8.png
legend,optml_2605.09552_page108_chart5,optml,2605.09552,108,page108_chart5,legend_missing,legend,"2-entry legend (1-w_i line, MC norm marker) not recovered",detect mixed line+marker legend handles; pair each handle with its text,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.09552_page108_chart5.png
legend,optml_2605.15563_page10_chart7,optml,2605.15563,10,page10_chart7,legend_missing,legend,"2-entry legend (10 trials faint, Median error bold) inside axes not recovered",detect low-contrast/thin legend handles; the faint '10 trials' line handle is being skipped,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.15563_page10_chart7.png
data,optml_2605.25318_page18_chart1,optml,2605.25318,18,page18_chart1,partial,legend_wrong,"The peaking series is labeled 's' (a stray fragment) instead of Linear Prop., so legend binding picked a wrong label token.",Filter single-character or fragment tokens from legend-label candidates and bind labels by marker color.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.25318_page18_chart1.png
legend,optml_2605.25318_page18_chart1,optml,2605.25318,18,page18_chart1,legend_partial,legend,4-entry legend; 'Linear' garbled to 's' and 'Ground Truth' missing; only 3 of 4 recovered,improve small-font legend OCR/text-span association; reject 1-char tokens like 's' as legend labels,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.25318_page18_chart1.png
legend,optml_2605.29291_page30_chart1,optml,2605.29291,30,page30_chart1,legend_partial,legend,"7-entry legend; only 4 recovered, one garbled to 'o', the 3 non-mono entries dropped",handle multi-line legends with mixed dashed/solid handles; recover all rows incl. dashed; drop bare 'o' token,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.29291_page30_chart1.png
legend,optml_2606.00656_page7_chart2,optml,2606.00656,7,page7_chart2,legend_missing,legend,top-row multi-entry legend (above axes) not recovered,detect legends placed outside/above the axes (top-center horizontal legend); current scope likely limited to in-axes box,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00656_page7_chart2.png
data,optml_2606.00795_page10_chart2,optml,2606.00795,10,page10_chart2,partial,legend_wrong,The legend label reads '10 MAE = 0.828' because an axis tick value ('10') was merged into the annotation text.,Exclude axis tick-label text from legend/annotation text spans when building the series label.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00795_page10_chart2.png
legend,optml_2606.00984_page43_chart10,optml,2606.00984,43,page43_chart10,legend_missing,legend,multi-entry legend (BLCE... above axes) not recovered,detect above-axes horizontal legends and split into per-entry handle+text,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00984_page43_chart10.png
legend,optml_2606.00984_page43_chart7,optml,2606.00984,43,page43_chart7,legend_partial,legend,5+ series but only BLCE(0.1) recovered,above-axes legend partially read; recover remaining entries for the other colored series,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00984_page43_chart7.png
legend,optml_2606.02886_page7_chart2,optml,2606.02886,7,page7_chart2,legend_missing,legend,4-method in-axes legend (AIFS/Aurora/FourCastNetV2/Pangu-Weather) not recovered,in-axes legend-box detection; small-font multi-entry legend missed,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.02886_page7_chart2.png
legend,optml_2606.02886_page7_chart9,optml,2606.02886,7,page7_chart9,legend_missing,legend,3-entry legend (Mean line / Median dashed / IQR band) not recovered,detect legend with band (patch) handle plus line handles; map patch to the IQR fill series,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.02886_page7_chart9.png
data,optml_2606.03899_page43_chart3,optml,2606.03899,43,page43_chart3,partial,legend_wrong,"One series legend label is rendered as the bare marker glyph 'o' instead of its real name, leaving the dashed-reference series mislabeled.",Fall back to the legend entry text when the marker glyph is mistaken for the label string.,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.03899_page43_chart3.png
legend,optml_2606.03899_page43_chart3,optml,2606.03899,43,page43_chart3,legend_wrong,legend,3-entry LaTeX legend garbled: sin-Theta entries collapsed to bare 'o' and 0.84(2T-1)^-1/4 mangled (exponent/minus lost),preserve LaTeX sub/superscripts when rendering legend text; reject 'o' marker-proxy tokens,labels.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.03899_page43_chart3.png
data,astro_2606.00209_page5_chart1,astro,2606.00209,5,page5_chart1,partial,missing_series,"Only the red optical series was recovered; the X-ray, radio, IC, and synchrotron band series are all missing from the re-plot.",Detect and extract each distinctly colored line/marker series including thick filled markers and shaded-band curves rather than collapsing to one series.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00209_page5_chart1.png
data,astro_2606.00569_page27_chart6,astro,2606.00569,27,page27_chart6,partial,extra_noise,The two real series (step data and fit curve) are recovered but a spurious flat series sitting at y=0 was added.,Suppress the flat zero-baseline artifact series that does not correspond to a real curve.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00569_page27_chart6.png
data,astro_2606.00569_page27_chart8,astro,2606.00569,27,page27_chart8,partial,extra_noise,The data and fit are recovered but the data points are very scattered and a spurious flat zero series is present.,Remove the flat zero artifact series and tighten step-histogram sampling to reduce scatter.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00569_page27_chart8.png
data,astro_2606.02353_page3_chart6,astro,2606.02353,3,page3_chart6,partial,extra_noise,The green peak feature is recovered but overlapping baseline series are very noisy and partly redundant.,Reduce duplicate/overlapping baseline series sampling so the step data is cleaner.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02353_page3_chart6.png
data,astro_2606.02711_page57_chart5,astro,2606.02711,57,page57_chart5,partial,missing_series,"Legend lists 5 nearly-coincident dashed curves but only 3 series were reconstructed, plus a couple stray y=0 points past x=0.5.",Separate heavily overlapping dashed curves by color and suppress flat baseline points beyond the data extent.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02711_page57_chart5.png
data,astro_2606.03313_page18_chart7,astro,2606.03313,18,page18_chart7,partial,extra_noise,The red double-peaked fit curve was captured but split into two color series with a few stray y=0 edge points.,Merge same-curve points into one series and drop baseline points outside the fit's x-extent.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart7.png
data,astro_2606.03546_page3_chart6,astro,2606.03546,3,page3_chart6,partial,missing_series,Six legend curves (1.13-0.07 ML) but only five peaks were reconstructed and the top curve's legend label is misaligned.,Recover the missing top series and align legend colors/labels to the correct curves.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03546_page3_chart6.png
data,astro_2606.04082_page3_chart1,astro,2606.04082,3,page3_chart1,partial,extra_noise,The two decay curves are captured well but an orange series traces a spurious vertical step artifact dropping to y=0 near x=3.,Filter out the near-vertical edge artifact so only the genuine decay curves remain.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04082_page3_chart1.png
data,astro_2606.04309_page13_chart3,astro,2606.04309,13,page13_chart3,partial,missing_series,Only the H atoms curve and fmol markers were extracted; the HI (black) and H2 (pink) filled series in the legend are missing.,Extract the filled/area HI and H2 curves in addition to the dashed H-atoms line.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04309_page13_chart3.png
data,astro_2606.04309_page13_chart5,astro,2606.04309,13,page13_chart5,partial,missing_series,"Same chart family: HI and H2 series from the legend are not reconstructed, only H atoms and fmol.",Extract the filled HI and H2 area series alongside the dashed line and markers.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04309_page13_chart5.png
data,astro_2606.04827_page5_chart1,astro,2606.04827,5,page5_chart1,partial,extra_noise,The rising z=5..12 curve family is captured well but an extra unlabeled 'D' series and low-y scatter around x=10 add noise.,Suppress the spurious bottom scatter and drop the empty 'D' series so only the five z curves remain.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04827_page5_chart1.png
data,astro_2606.05119_page18_chart4,astro,2606.05119,18,page18_chart4,partial,missing_series,Original is a stacked/filled multi-component spectrum but only the top total envelope was extracted as one series.,Either extract the individual stacked components or explicitly label the single output as the total envelope.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05119_page18_chart4.png
data,astro_2606.05146_page20_chart1,astro,2606.05146,20,page20_chart1,partial,other,Dense overlapping GRB-SNe light curves are mostly captured but series identity is uncertain and the green/red series are sparsely sampled.,Improve color separation of overlapping light-curve series so each band is sampled consistently.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.05146_page20_chart1.png
data,materials_2606.00165_page18_chart1,materials,2606.00165,18,page18_chart1,partial,missing_series,The legend lists six series (a- and a+ variants) but only three are reconstructed; the a+ series sitting on the dashed zero line is dropped.,Recover near-zero flat dashed series and avoid suppressing series that overlap the x-axis baseline.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page18_chart1.png
data,materials_2606.00223_page6_chart1,materials,2606.00223,6,page6_chart1,partial,extra_noise,"A spurious red fourth series with points at (-0.4,-448) and (0.4,-93) is added that does not exist among the three real line series.",Suppress phantom series formed from axis/border artifacts and limit series count to detected legend entries.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00223_page6_chart1.png
data,materials_2606.01029_page25_chart1,materials,2606.01029,25,page25_chart1,wrong,other,The source is a dense spaghetti band plot of many crossing curves but it is reconstructed as a meaningless multicolor scatter of line-crossing points.,Treat dense overlapping line bands as continuous curves rather than emitting scatter points at intersections.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01029_page25_chart1.png
data,materials_2606.02399_page2_chart2,materials,2606.02399,2,page2_chart2,partial,missing_series,"The dense smooth thr.em and thr.abs fit curves were lost and only sparse mismatched scatter points were reconstructed, dropping most of the curve data.",Recover line-style series as dense sampled points rather than only discrete markers when a smooth curve is present.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02399_page2_chart2.png
data,materials_2606.04724_page15_chart3,materials,2606.04724,15,page15_chart3,partial,extra_noise,The four clean stacked tau lines were fragmented into noisy multi-color scatter with extra spurious purple points near y=0.,Group markers into their parent connected line series and suppress small off-trend point clusters.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart3.png
data,materials_2606.04919_page21_chart1,materials,2606.04919,21,page21_chart1,partial,extra_noise,"Multiple spurious series were produced including a pink/gray cluster diving down at the right, mixing the dash-dot annotation lines with the real hh resonance curves.",Separate dash-dot fit/annotation lines from data marker series and drop the diverging spurious cluster.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04919_page21_chart1.png
data,optml_2605.25490_page16_chart4,optml,2605.25490,16,page16_chart4,partial,extra_noise,The reconstruction adds spurious flat horizontal series (e.g. a pink line near y=500) and stray dropping clusters that do not correspond to the original decaying curves.,Suppress horizontal artifact series arising from gridlines/axis spans and discard isolated point clusters off the curve envelopes.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.25490_page16_chart4.png
data,optml_2606.00984_page43_chart10,optml,2606.00984,43,page43_chart10,partial,missing_series,"Several overlapping colored curves bunched near the x-axis are collapsed into only two extracted series, so most series are missing.",Improve color separation for tightly overlapping curves so each distinct-color series is recovered.,lines.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00984_page43_chart10.png
data,astro_2606.01625_page36_chart1,astro,2606.01625,36,page36_chart1,partial,extra_noise,The filled-data and open-circle model series are conflated into one noisy scatter so the structured model curve is lost.,Separate filled markers (data) from open-circle markers (model) into distinct series.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.01625_page36_chart1.png
data,astro_2606.02687_page5_chart3,astro,2606.02687,5,page5_chart3,partial,missing_series,"Extraction traced the fitted central curve through the confidence band but missed the discrete Bulge/Disk marker series (squares, diamonds, large circle).",Detect and extract filled discrete markers as their own series rather than only digitizing the smooth fitted curve.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02687_page5_chart3.png
data,astro_2606.03313_page18_chart6,astro,2606.03313,18,page18_chart6,wrong,extra_noise,"The gray noisy spectrum was digitized as a dense green scatter of points, producing garbage rather than a discrete data series.",Detect spectrum/histogram step traces and avoid emitting every noisy pixel as a marker point.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart6.png
data,astro_2606.03313_page18_chart8,astro,2606.03313,18,page18_chart8,wrong,extra_noise,"The red fit peak is captured (orange) but is swamped by a dense blue scatter digitized from the gray noise spectrum, plus garbled log x labels.",Suppress spectrum-noise pixels and keep only the fitted-curve series; fix x-axis label parsing.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart8.png
data,materials_2606.00064_page2_chart1,materials,2606.00064,2,page2_chart1,wrong,other,"The source is a paired vertical-line range plot (circle endpoints joined by stems with bracketed citation labels) but it is reconstructed as an unrelated scatter and the legend labels are garbled (""23, 4, 24"", ""his or"").",Detect vertical stem-with-endpoint range marks and keep paired endpoints as a single range series instead of emitting loose scatter points.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00064_page2_chart1.png
data,materials_2606.00165_page8_chart2,materials,2606.00165,8,page8_chart2,partial,extra_noise,Two stray blue points appear near x=4.3 (y~0.005-0.006) that do not correspond to either of the two real curves.,Reject isolated off-curve points that have no neighboring marks along the series trajectory.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00165_page8_chart2.png
data,materials_2606.02317_page22_chart11,materials,2606.02317,22,page22_chart11,partial,extra_noise,A spurious flat blue series near y=6 was reconstructed from a small disconnected cluster of marker circles on the right of the original.,Detect and drop short marker clusters that are spatially isolated from the main peak envelope and lie outside the plotted data envelope.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page22_chart11.png
data,materials_2606.02317_page23_chart1,materials,2606.02317,23,page23_chart1,partial,extra_noise,A stray blue point appears around x=16.3 y=30 that does not correspond to any real mark on the Hf 4f curves.,Add an outlier filter that removes single points lying far from the local series trajectory of all reconstructed components.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.02317_page23_chart1.png
data,materials_2606.03405_page6_chart6,materials,2606.03405,6,page6_chart6,wrong,non_chart,"The extracted points are the circle markers along an annotation arrow ('Convergence of all replicas'), not real plotted data.",Detect and skip arrow/annotation glyphs so their marker decorations are not treated as a data series.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.03405_page6_chart6.png
data,materials_2606.04724_page15_chart7,materials,2606.04724,15,page15_chart7,partial,extra_noise,Spurious purple points appear at the bottom (y~-1.1) that are not part of any real arch-shaped tau series.,Filter isolated low-outlier points that fall well below the envelope of the reconstructed series.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart7.png
data,materials_2606.04724_page15_chart9,materials,2606.04724,15,page15_chart9,partial,extra_noise,Spurious purple points appear at the bottom (y~-1.1) that do not correspond to any real tau series on the arch.,Filter isolated low-outlier points that fall well below the envelope of the reconstructed series.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04724_page15_chart9.png
data,optml_2605.06585_page11_chart3,optml,2605.06585,11,page11_chart3,partial,missing_series,Only the two rising series are reconstructed while the two flat near-zero series (green and gold triangle markers) are dropped.,Lower the per-series marker-cluster size threshold so flat low-amplitude series with distinct marker colors are still recovered.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.06585_page11_chart3.png
data,optml_2605.06585_page11_chart4,optml,2605.06585,11,page11_chart4,partial,other,The five step-like series are reconstructed but several individual point colors are confused so the per-series value correspondence near the rises is noisy and the sharp blue step is split across colors.,Improve per-marker color clustering so overlapping same-x markers of different series are assigned to the correct series.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.06585_page11_chart4.png
data,optml_2605.08751_page14_chart2,optml,2605.08751,14,page14_chart2,partial,extra_noise,A spurious cluster of blue points around x=12 y=4-5 was reconstructed from the in-axes legend box markers and text.,Suppress marker detections that fall inside the detected legend bounding box.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart2.png
data,optml_2605.08751_page14_chart5,optml,2605.08751,14,page14_chart5,partial,extra_noise,A spurious cluster of blue points around x=7-13 y=-5 to -7.5 was reconstructed from the bottom in-axes legend box.,Suppress marker detections that fall inside the detected legend bounding box.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart5.png
data,optml_2605.08751_page14_chart7,optml,2605.08751,14,page14_chart7,partial,extra_noise,A spurious cluster of blue points around x=8-13 y=-5 to -7.5 was reconstructed from the in-axes legend box markers.,Suppress marker detections that fall inside the detected legend bounding box.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart7.png
data,optml_2605.08751_page14_chart8,optml,2605.08751,14,page14_chart8,partial,extra_noise,A spurious cluster of blue points around x=7-13 y=-5 to -7.5 was reconstructed from the in-axes legend box markers.,Suppress marker detections that fall inside the detected legend bounding box.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.08751_page14_chart8.png
data,optml_2605.29291_page30_chart1,optml,2605.29291,30,page30_chart1,partial,extra_noise,A vertical pink point cluster on the left edge and scattered red EGM points at high y do not correspond to real marks on the smooth EGM curve.,Drop edge/axis-region marker clusters and apply an outlier filter so scattered points far from a series trajectory are removed.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.29291_page30_chart1.png
data,optml_2606.00656_page7_chart9,optml,2606.00656,7,page7_chart9,partial,extra_noise,"Error-bar cap endpoints are picked up as extra data points, producing a dense pink scatter cloud in the re-plot that does not exist in the clean source curves.",Detect and discard small marks that lie at error-bar whisker endpoints rather than at series vertices.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.00656_page7_chart9.png
data,optml_2606.02623_page31_chart1,optml,2606.02623,31,page31_chart1,partial,extra_noise,Beyond the real smooth curves the re-plot is flooded with scattered blue/orange/brown noise points that do not lie on any actual curve.,Add a density/continuity filter to drop isolated marker pixels that do not align with a recovered curve.,marks.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.02623_page31_chart1.png
data,astro_2606.00219_page17_chart29,astro,2606.00219,17,page17_chart29,wrong,non_chart,"The region is a 2D density/heatmap of colored blobs, not a scatter plot, so the red points and random-colored re-plot are meaningless.",Detect heatmap/image regions and skip them instead of extracting blob centroids as data points.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00219_page17_chart29.png
data,astro_2606.00219_page17_chart31,astro,2606.00219,17,page17_chart31,wrong,non_chart,"The region is a 2D density/heatmap of colored blobs, not a scatter plot, so the extracted points are spurious centroids.",Add a heatmap/raster-region detector and skip it so blob centroids are not treated as markers.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00219_page17_chart31.png
data,astro_2606.00219_page17_chart46,astro,2606.00219,17,page17_chart46,wrong,non_chart,"The region is a 2D density/heatmap of colored blobs, not a scatter plot, so the extracted scatter has no correspondence to real data.",Classify dense raster/heatmap panels as non-chart and exclude them from marker extraction.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00219_page17_chart46.png
data,astro_2606.01625_page36_chart3,astro,2606.01625,36,page36_chart3,partial,panel_merge,Points from the thin top/bottom strip panels are merged with the main panel and filled-vs-open markers are conflated into noisy scatter.,Split the stacked sub-panels and separate filled data from open-circle model markers.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.01625_page36_chart3.png
data,astro_2606.02698_page17_chart2,astro,2606.02698,17,page17_chart2,partial,legend_wrong,Data points are correct but the x-axis was labeled with the title of an adjacent stacked panel (MINERVA-1092611) instead of the real axis label.,Restrict axis-label text search to the current panel's bounding box so labels from neighboring stacked panels are not picked up.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.02698_page17_chart2.png
data,materials_2606.05050_page13_chart4,materials,2606.05050,13,page13_chart4,wrong,non_chart,"The source is a chemical reaction-network node diagram with an inset bar chart, but node circles were scattered onto a Count-vs-Carbon-number axis as if it were an XY data chart.",Classify reaction-network/graph diagrams as non-chart and skip series extraction.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.05050_page13_chart4.png
data,optml_2605.15563_page10_chart5,optml,2605.15563,10,page10_chart5,partial,panel_merge,Data from the small inset zoom panel (y around -29 to -33) is merged into the main panel reconstruction as extra red and brown clusters near y=-40.,Detect inset panel bounding boxes and exclude their marks from the main panel's extraction region.,plot_region.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.15563_page10_chart5.png
